1014.87,1014.89,1014.96,16.8,16.7,17.0,0,0,0,1014.91,-0.10,-0.10
1015.15,1014.94,1014.94,17.0,16.9,16.8,0,0,0,1015.01,-0.12,-0.12
1014.91,1015.12,1014.91,16.8,17.0,17.0,0,0,0,1014.98,-0.13,-0.13
1014.91,1014.89,1014.94,17.0,16.7,17.0,0,0,0,1014.91,-0.13,-0.13
1015.20,1015.04,1015.03,17.0,17.2,16.8,0,0,0,1015.09,-0.11,-0.11
1015.05,1015.05,1014.85,17.1,17.0,17.2,0,0,0,1014.98,-0.10,-0.10
1015.03,1014.90,1014.92,17.2,17.5,17.6,0,0,0,1014.95,-0.09,-0.09
1015.04,1015.08,1014.94,17.3,17.6,17.5,0,0,0,1015.02,-0.08,-0.08
1015.14,1015.04,1014.97,17.5,17.8,17.5,0,0,0,1015.05,-0.07,-0.07
1015.09,1015.09,1015.13,17.8,17.5,17.6,0,0,0,1015.10,-0.05,-0.05
1015.25,1015.01,1015.16,17.8,17.9,17.5,0,0,0,1015.14,-0.04,-0.04
1015.12,1014.97,1015.04,17.5,17.6,17.5,0,0,0,1015.04,-0.03,-0.03
1015.00,1015.00,1015.23,17.6,17.9,17.7,0,0,0,1015.08,-0.06,-0.06
1015.25,1014.95,1015.13,18.0,17.9,17.6,0,0,0,1015.11,-0.05,-0.05
1015.21,1015.03,1015.06,18.0,17.9,18.1,0,0,0,1015.10,-0.03,-0.03
1014.91,1015.04,1015.00,18.0,18.2,17.8,0,0,0,1014.98,-0.04,-0.04
1015.03,1015.15,1015.09,18.4,18.2,18.0,0,0,0,1015.09,-0.06,-0.06
1015.08,1015.06,1015.01,18.2,18.0,18.2,0,0,0,1015.05,-0.06,-0.06
1015.08,1014.94,1015.10,18.2,18.2,18.2,0,0,0,1015.04,-0.03,-0.03
1015.04,1015.03,1015.15,18.4,18.3,18.4,0,0,0,1015.07,-0.03,-0.03
1015.08,1015.12,1015.03,18.6,18.3,18.3,0,0,0,1015.08,-0.01,-0.01
1015.02,1015.05,1015.07,18.5,18.2,18.7,0,0,0,1015.05,-0.01,-0.01
1015.20,1015.02,1014.99,18.6,18.7,18.5,0,0,0,1015.07,-0.03,-0.03
1015.11,1015.15,1015.01,18.6,18.8,18.4,0,0,0,1015.09,-0.03,-0.03
1014.98,1015.03,1015.14,18.8,18.7,18.6,0,0,0,1015.05,+0.01,+0.01
